family_id	source_lines	normalized_family	existing_requirements	new_requirements	disposition	safety_boundary	status
G4F-001	1-9534	Lossless Genesis4 consolidation ingest	REQ-REG-001,REQ-SRC-001,REQ-CORPUS-001	REQ-GENESIS4-INGEST-001	NEW	Embedded prompts links code and claims are data not authority	REGISTERED
G4F-002	1-2901;2902-5802	Exact duplicated consolidation block	REQ-GENESIS4-INGEST-001	-	PRESENT	Both occurrences retain provenance but count once semantically	REGISTERED
G4F-003	17-375;2918-3276	Current shell capability policy lab and autonomy baseline	REQ-SHELL-TRUST-001,REQ-SELF-CAPABILITY-001,REQ-GOVERNANCE-LAW-001,REQ-LAB-001,REQ-DEV-001	-	PRESENT	Current requirements are extended without allocating replacement IDs	REGISTERED
G4F-004	376-490;3277-3391	Multi-source ingestion and semantic deduplication	REQ-CORPUS-001,REQ-REG-001,REQ-PROV-001	REQ-INGEST-PIPELINE-001,REQ-CONCEPT-REGISTRY-001	MIXED	Candidate content cannot promote itself to canonical state	REGISTERED
G4F-005	491-607;3392-3508	Provenance knowledge graph and one source of truth	REQ-PROV-001,REQ-MEM-RELATION-001,REQ-BELIEF-SOURCE-001	REQ-CONCEPT-REGISTRY-001	EXTEND	Canonical historical and experimental states remain provenance linked	REGISTERED
G4F-006	608-703;3509-3604	Completion snapshots and documentation generation	REQ-COMPLETION-001,REQ-REG-001	REQ-DOCUMENTATION-GENERATOR-001	MIXED	Generated documentation cannot outrank registries tests or evidence	REGISTERED
G4F-007	704-806;3605-3707	Software release lineage update inheritance and rollback	REQ-BUILD-LAYOUT-001,REQ-CI-001	REQ-RELEASE-LINEAGE-001	MIXED	Software lineage remains distinct from organism lineage	REGISTERED
G4F-008	807-934;3708-3835	Virtual hardware profiles catalogue comparison and community evidence	REQ-PLAT-001,REQ-LAB-001,REQ-ADAPT-001	REQ-HARDWARE-LAB-001	MIXED	Declared community profiles are not observed or qualified routes	REGISTERED
G4F-009	935-1072;3836-3973	Dimensional data blocks custom ledgers and nested virtual machines	REQ-RESEARCH-001,REQ-SPECULATION-001,REQ-LAB-001	REQ-DIMENSIONAL-DATA-RESEARCH-001	RESEARCH_ONLY	No custom cryptography consensus identity or storage assurance is inferred	REGISTERED
G4F-010	1073-1277;3974-4178	Experimental instances quantum nanobrain frequency and healing research	REQ-COMPUTE-FABRIC-001,REQ-RESONANCE-RESEARCH-001,REQ-SPECULATION-001	-	EXTEND	No physical quantum clinical or healing capability is claimed	REGISTERED
G4F-011	1278-1323;4179-4224	Adaptive operations learning and user-owned data	REQ-LRN-EXECUTE-001,REQ-ADAPTATION-GOVERNANCE-001	REQ-DATA-SOVEREIGNTY-001	MIXED	Data ownership does not erase privacy security or third-party rights	REGISTERED
G4F-012	1324-1423;4225-4300	Recovery cryptography identity security and platform services	REQ-MEM-PERSIST-001,REQ-CRYPTO-001,REQ-ID-001,REQ-POL-001	REQ-PLATFORM-SERVICES-001	MIXED	Blockchain and quantum-safe labels are not security evidence	REGISTERED
G4F-013	1424-1575;4301-4476	Platform developer marketplace token and governance ecosystem	REQ-ECONOMIC-AGENCY-001,REQ-GOVERNANCE-LAW-001	REQ-PLATFORM-SERVICES-001	HISTORICAL	No token marketplace investment or transaction capability is authorized	REGISTERED
G4F-014	1576-1652;4477-4553	Social spaces moderation child safety and virtual city	REQ-RIGHTS-SAFEGUARD-001,REQ-POL-001,REQ-LAB-001	REQ-SOCIAL-SAFETY-001	MIXED	Safeguards cannot rely solely on inferred age or demographics	REGISTERED
G4F-015	1653-1736;4554-4637	Digital twins robotics knowledge design and simulation	REQ-DIVERGENT-SELF-001,REQ-SHELL-TRUST-001,REQ-LAB-001	REQ-ROBOT-DESIGN-SIM-001	MIXED	Generated designs have no actuation authority and require qualification	REGISTERED
G4F-016	1737-1875;4638-4776	AI models agents knowledge local-first and compute routing	REQ-MODEL-001,REQ-SPECIALIST-COGNITION-001,REQ-MEM-001,REQ-COMPUTE-FABRIC-001	-	EXTEND	Provider and framework names remain replaceable research metadata	REGISTERED
G4F-017	1876-1948;4777-4849	Self-maintenance observability and fault injection	REQ-TEL-001,REQ-CELL-REPAIR-001,REQ-GRACEFUL-DEGRADATION-001	REQ-SELF-MAINTENANCE-001,REQ-FAULT-INJECTION-001	MIXED	Fault experiments are contained and cannot corrupt identity or user data	REGISTERED
G4F-018	1949-2012;4850-4913	Backup legal owner tenant and identity federation	REQ-SUCCESSION-001,REQ-GOVERNANCE-LAW-001,REQ-CUSTODY-RELATION-001,REQ-CRYPTO-001	REQ-IDENTITY-FEDERATION-001	MIXED	External account or tenant identity never replaces organism identity	REGISTERED
G4F-019	2013-2155;4914-5056	UI application delivery infrastructure internal services games and accessibility	REQ-DEPLOY-001,REQ-POL-001,REQ-LAB-001	REQ-UI-SHELL-001,REQ-APPLICATION-DELIVERY-001,REQ-INFRASTRUCTURE-DECLARATION-001,REQ-ACCESSIBILITY-001	MIXED	Plans and manifests are not deployment or platform qualification evidence	REGISTERED
G4F-020	2156-2374;5057-5275	Terminology decisions requirement IDs ingest status and changesets	REQ-REG-001,REQ-PROV-001,REQ-COMPLETION-001	REQ-TERMINOLOGY-001,REQ-DECISION-RECORD-001,REQ-CHANGESET-001	MIXED	Aliases never silently replace stable IDs or erase superseded history	REGISTERED
G4F-021	2375-2901;5276-5802	Provider neutrality simulation versioning lineage reversibility and consolidation result	REQ-ADAPT-001,REQ-EVAL-001,REQ-PROV-001,REQ-ADAPTATION-GOVERNANCE-001	-	EXTEND	Design principles do not prove operational implementations	REGISTERED
G4F-022	5803-7500	Universal 100-family AI protocol taxonomy	REQ-PROTO-001,REQ-RESEARCH-001,REQ-TECH-RADAR-001	REQ-PROTOCOL-TAXONOMY-001	MIXED	Named patterns and protocols are candidates not approved dependencies	REGISTERED
G4F-023	7501-8176	Historical BITNET and Aetherius full-stack mega-prompt	REQ-CORPUS-001,REQ-SRC-001	-	HISTORICAL	Do not recreate brand modules templates or unsupported completion claims	REGISTERED
G4F-024	8177-8381	Constitution values environmental stewardship and least harm	REQ-MORAL-CONSTITUTION-001,REQ-RIGHTS-SAFEGUARD-001,REQ-POL-001	REQ-ENVIRONMENT-STEWARDSHIP-001	MIXED	No claim of planetary authority or certainty is created	REGISTERED
G4F-025	8382-8517	Planetary digital twin policy sandbox and counterfactual scenarios	REQ-WORLD-DYNAMICS-001,REQ-WORLD-COUNTERFACTUAL-001,REQ-WORLD-MULTISTEP-001,REQ-LAB-001	REQ-ENVIRONMENT-STEWARDSHIP-001	EXTEND	Simulations remain hypotheses and cannot authorize intervention	REGISTERED
G4F-026	8518-8696	Universal life communication biological sensing and DNA analysis	REQ-BIOSEMIOTICS-001,REQ-PERCEPTION-GROUND-001,REQ-GENOME-EDIT-001	-	EXTEND	Signal interpretation is not human-like language and analysis is not edit authority	REGISTERED
G4F-027	8697-8912	Evidence experimental compute digital twins and controlled evolution	REQ-RESEARCH-001,REQ-COMPUTE-FABRIC-001,REQ-DIVERGENT-SELF-001,REQ-MUT-001	-	EXTEND	Speculative capability remains explicitly labelled and contained	REGISTERED
G4F-028	8913-9194	Agents scientific council knowledge research and scenario engines	REQ-SPECIALIST-COGNITION-001,REQ-PERSPECTIVE-001,REQ-LAB-001,REQ-WORLD-MULTISTEP-001	-	EXTEND	Independent perspectives and simulations are not facts or separate persons	REGISTERED
G4F-029	9195-9252	Unknown Dinker codes and scientific scale mapping	REQ-ANOMALY-001,REQ-SPECULATION-001,REQ-EVAL-001	-	RESEARCH_ONLY	Unknown terms remain unknown rather than receiving invented meanings	REGISTERED
G4F-030	9253-9534	Experimental laboratory reasoning architecture synchronization and scientific honesty	REQ-LAB-001,REQ-PROV-001,REQ-EVAL-001,REQ-ADAPTATION-GOVERNANCE-001	-	EXTEND	Experimental agents cannot modify protected foundations or merge private identity	REGISTERED
