dead_end_id	research_id	idea	source	date_investigated	reason_investigated	evidence_found	tests_performed	reason_rejected	useful_fragments	reopen_condition	related_ideas	status	provenance	last_reviewed
DEAD-001	RES-002	Local neuromorphic backend	technology_mining_addendum	2026-09-02	assess future compute substrate	no qualified local device or measured adapter	registry review only	foundation checkout has no hardware evidence	event-driven software abstraction	qualified device adapter and reproducible benchmark	RES-003;RES-MEMRISTIVE-SYNAPSE	DEFERRED	technology_mining_addendum:1382-1383	2026-09-02
DEAD-002	RES-003	Local photonic backend	technology_mining_addendum	2026-09-02	assess future compute substrate	no qualified local photonic route	registry review only	foundation checkout has no hardware evidence	provider-neutral backend ABI	qualified device adapter and reproducible benchmark	RES-002;RES-POLARITON	DEFERRED	technology_mining_addendum:1384-1385	2026-09-02
DEAD-003	RES-DEADEND	Exhaustive one-pass research corpus	technology_mining_addendum	2026-09-02	avoid claiming all human knowledge was covered	addendum explicitly rejects finish-line claims	registry schema review	static corpus cannot contain every source	continuous watcher, deduplication and lineage	new source discovery and provenance	RES-TECH-RADAR;RES-UNIVERSAL	OPEN	technology_mining_addendum:1446	2026-09-02
DEAD-004	RES-PROPULSION-SPEC	Faster-than-light communication	technology_mining_addendum	2026-09-02	classify high-impact speculative claims	no established engineering evidence	claim classification only	not supported by established engineering	state serialization and latency analysis	reproducible evidence consistent with known physics	RES-SPECULATION;RES-QUANTUM	DEFERRED	technology_mining_addendum:1427	2026-09-02
DEAD-005	RES-PROPULSION-SPEC	Fictional matter teleportation	technology_mining_addendum	2026-09-02	decompose an apparently impossible device	mechanism unsupported	function decomposition only	matter teleportation mechanism is unsupported	state serialization, reconstruction, error correction and destination verification	validated physical mechanism and safety evidence	RES-SPECULATION;SIM-DIVERGENCE	DEFERRED	technology_mining_addendum:1418;1427	2026-09-02
DEAD-006	RES-DIGITAL-COPY	Full human mind upload	technology_mining_addendum	2026-09-02	separate useful continuity questions from claims	not currently demonstrated	identity and snapshot design only	no demonstrated full upload mechanism	memory continuity, identity status and simulation duration	reproducible neuroscience and engineering evidence	RES-RESURRECTION-CONTINUITY;RES-UPLOADED-INTELLIGENCE	DEFERRED	technology_mining_addendum:1364-1365;1427	2026-09-02
DEAD-007	RES-DIGITAL-COPY	Software subjective consciousness	technology_mining_addendum	2026-09-02	avoid conflating rich simulation with consciousness	unresolved	no consciousness test performed	claim remains unresolved and cannot be asserted	careful welfare and self-model research	validated operational criteria and independent evidence	RES-COMPLEMENTARY-AI;SIM-DIVERGENCE	OPEN	technology_mining_addendum:1365;1427	2026-09-02
DEAD-008	RES-UAP	UAP reverse-engineered alien hardware	technology_mining_addendum	2026-09-02	classify extraordinary UAP claims	no verified public empirical evidence in reviewed government material	source and evidence boundary review	claim is not an engineering specification	anomaly data quality, sensor fusion and hypothesis comparison	verified empirical evidence and reproducible chain of custody	RES-SPECULATION;SCI-ANOMALY	DEFERRED	technology_mining_addendum:1395-1397;1427	2026-09-02
DEAD-009	RES-TIME-CRYSTAL	General-purpose time-crystal computer	technology_mining_addendum	2026-09-02	separate observed time-crystal phenomena from extrapolation	experimental phenomena do not establish a general computing platform	evidence-class review only	not an established computing platform	temporal ordering and simulation analogies	repeated engineering demonstration of a useful platform	RES-TIME-CRYSTAL;RES-QUANTUM	DEFERRED	technology_mining_addendum:1387;1427	2026-09-02
DEAD-010	RES-PROPULSION-SPEC	Reactionless propulsion and gravity-control claims	technology_mining_addendum	2026-09-02	retain unusual claims without adopting them	requires extraordinary reproducible experimental evidence	falsifiability review only	no qualified engineering evidence	function-first propulsion analysis	independent reproducible measurements with controls	RES-UAP;RES-SPECULATION	DEFERRED	technology_mining_addendum:1398-1400	2026-09-02
