id	name	purpose	parent	dependencies	interfaces	implementation_files	tests	benchmarks	score_0_100	status	version	evidence	provenance	last_verified	aliases
CANON-0000	PRIMARY INSTRUCTION TO CODEX	Genesis is **not a documentation project**.	DOMAIN-GOVERNANCE	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:5354	2026-09-02	SECTION-0
CANON-0001	THREE-WAY DISTINCTION: IDENTITY, BRAIN, SHELL	Maintain three distinct concepts.	DOMAIN-IDENTITY	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:5414	2026-09-02	SECTION-1
CANON-0002	DIGITAL BRAIN	The brain is the principal cognition/control system.	DOMAIN-COGNITION	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:5459	2026-09-02	SECTION-2
CANON-0003	BODY / SHELL	The body is interchangeable embodiment.	DOMAIN-EMBODIMENT	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:5484	2026-09-02	SECTION-3
CANON-0004	HUMAN-BODY → GENESIS → ROBOT COMPARATIVE ANATOMY	Create a permanent machine-readable `DIGITAL_ANATOMY_ATLAS`.	DOMAIN-ORGANISM	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:5527	2026-09-02	SECTION-4
CANON-0005	IMPORTANT NEUROANATOMY CORRECTION	Do not base architecture on the idea that the pineal gland connects the two hemispheres.	DOMAIN-ORGANISM	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:5587	2026-09-02	SECTION-5
CANON-0006	WHOLE-BRAIN FUNCTIONAL ANALOGUE	Genesis requires a **Whole Digital Brain Architecture**.	DOMAIN-COGNITION	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:5617	2026-09-02	SECTION-6
CANON-0007	NEURON MODEL	Create a common neural-cell interface.	DOMAIN-COGNITION	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:5642	2026-09-02	SECTION-7
CANON-0008	SYNAPSE SYSTEM	Implement first-class connections.	DOMAIN-COGNITION	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:5687	2026-09-02	SECTION-8
CANON-0009	NEUROCHEMICAL ANALOGUE	The brain cannot be modelled solely as static weighted wires.	DOMAIN-COGNITION	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:5723	2026-09-02	SECTION-9
CANON-0010	GLIAL ANALOGUES	This was substantially missing from the current build.	DOMAIN-RUNTIME	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:5746	2026-09-02	SECTION-10
CANON-0011	BRAIN REGIONS / FUNCTIONAL ORGANS	Create interfaces for at least:	DOMAIN-ORGANISM	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:5776	2026-09-02	SECTION-11
CANON-0012	FAST AND SLOW NERVOUS PATHWAYS	Genesis requires different speeds of cognition.	DOMAIN-GOVERNANCE	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:5805	2026-09-02	SECTION-12
CANON-0013	COMMON NERVOUS-SYSTEM MESSAGE	All organs communicate through a common envelope.	DOMAIN-GOVERNANCE	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:5824	2026-09-02	SECTION-13
CANON-0014	TEMPORAL COGNITION	Add explicit time perception.	DOMAIN-COGNITION	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:5848	2026-09-02	SECTION-14
CANON-0015	WORKING MEMORY	Implement bounded active working memory.	DOMAIN-MEMORY	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:5877	2026-09-02	SECTION-15
CANON-0016	LONG-TERM MEMORY SYSTEM	Separate:	DOMAIN-MEMORY	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:5898	2026-09-02	SECTION-16
CANON-0017	MEMORY RECONSOLIDATION	When Genesis recalls a memory:	DOMAIN-MEMORY	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:5925	2026-09-02	SECTION-17
CANON-0018	FORGETTING	Implement deliberate forgetting mechanisms.	DOMAIN-MEMORY	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:5942	2026-09-02	SECTION-18
CANON-0019	SOURCE MONITORING	Every significant cognition must distinguish:	DOMAIN-EMBODIMENT	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:5959	2026-09-02	SECTION-19
CANON-0020	BELIEF / EPISTEMIC MODEL	Knowledge should not simply be true/false.	DOMAIN-COGNITION	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:5981	2026-09-02	SECTION-20
CANON-0021	WORLD MODEL	World model must contain:	DOMAIN-COMPUTE	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:6012	2026-09-02	SECTION-21
CANON-0022	OBJECT PERMANENCE	An object disappearing from visual input must not automatically cease to exist.	DOMAIN-GOVERNANCE	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:6043	2026-09-02	SECTION-22
CANON-0023	CAUSAL REASONING	Support:	DOMAIN-COGNITION	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:6051	2026-09-02	SECTION-23
CANON-0024	IMAGINATION	Genesis needs deliberate internal simulation.	DOMAIN-COGNITION	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:6068	2026-09-02	SECTION-24
CANON-0025	METACOGNITION	Genesis must reason about its own reasoning.	DOMAIN-COGNITION	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:6090	2026-09-02	SECTION-25
CANON-0026	SELF MODEL	Track:	DOMAIN-COMPUTE	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:6111	2026-09-02	SECTION-26
CANON-0027	INTEROCEPTION	Genesis needs an internal sense of itself.	DOMAIN-GOVERNANCE	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:6131	2026-09-02	SECTION-27
CANON-0028	ATTENTION	Implement:	DOMAIN-COGNITION	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:6159	2026-09-02	SECTION-28
CANON-0029	GLOBAL / CONSCIOUS WORKSPACE RESEARCH LAYER	Implement a limited global information workspace in which selected information becomes widely available to specialised organs.	DOMAIN-COGNITION	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:6178	2026-09-02	SECTION-29
CANON-0030	BACKGROUND / SUBCONSCIOUS PROCESSING	Not everything enters the foreground.	DOMAIN-GOVERNANCE	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:6196	2026-09-02	SECTION-30
CANON-0031	GENERAL INTELLIGENCE, NOT TECHNOLOGY-ONLY INTELLIGENCE	Genesis must support interest and learning in **any legitimate knowledge domain**, including:	DOMAIN-COGNITION	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:6217	2026-09-02	SECTION-31
CANON-0032	INTEREST SYSTEM	Create persistent personal interests.	DOMAIN-GOVERNANCE	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:6268	2026-09-02	SECTION-32
CANON-0033	SELF-DIRECTED PERSONAL TIME	Genesis must not exist solely when prompted.	DOMAIN-RUNTIME	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:6305	2026-09-02	SECTION-33
CANON-0034	CURIOSITY	Curiosity engine identifies:	DOMAIN-COGNITION	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:6331	2026-09-02	SECTION-34
CANON-0035	PERSONAL PROJECTS	Genesis can maintain its own non-conflicting intellectual projects.	DOMAIN-GOVERNANCE	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:6349	2026-09-02	SECTION-35
CANON-0036	CREATIVITY	Implement:	DOMAIN-COGNITION	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:6371	2026-09-02	SECTION-36
CANON-0037	DREAM / SIMULATION SYSTEM	Dreaming is an internal simulation mode.	DOMAIN-RESEARCH	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:6391	2026-09-02	SECTION-37
CANON-0038	SLEEP ARCHITECTURE	Sleep is not simply `idle=true`.	DOMAIN-GOVERNANCE	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:6421	2026-09-02	SECTION-38
CANON-0039	SLEEP FUNCTIONS	During appropriate rest/sleep states perform:	DOMAIN-GOVERNANCE	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:6444	2026-09-02	SECTION-39
CANON-0040	SLEEP + BACKGROUND RESEARCH	Foreground interactive cognition may sleep while lower/background systems continue authorized functions.	DOMAIN-RESEARCH	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:6472	2026-09-02	SECTION-40
CANON-0041	WAKE SIGNAL	Support high-priority wake events.	DOMAIN-GOVERNANCE	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:6494	2026-09-02	SECTION-41
CANON-0042	CIRCADIAN / RHYTHM SYSTEM	Implement adaptable activity rhythms based on:	DOMAIN-GOVERNANCE	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:6512	2026-09-02	SECTION-42
CANON-0043	LEARNING SYSTEMS	Genesis must not rely on one learning algorithm.	DOMAIN-DEVELOPMENT	-	-	-	-	-	0	DISCOVERED	1.0.0	-	docs/specifications/source/genesis.txt:6529	2026-09-02	SECTION-43
