research_id	title	source_type	source_name	creator	year	domain	technology_category	description	claimed_function	underlying_mechanism	evidence_class	utility_class	known_physics_status	real_world_analogues	related_patents	related_papers	related_fiction	modules_affected	useful_principles	failure_lessons	prototype_possible	simulation_possible	tests	results	status	reason_accepted	reason_rejected	reopen_conditions	provenance	last_reviewed
RES-001	Independent perspectives and minority reports	FICTIONAL	MAGI	User supplied research	2026	cognition	decision_support	Multiple independent evaluators can disagree before a high-impact decision.	preserve disagreement and minority reports	parallel perspectives with explicit arbitration	E0	U5	not a physical mechanism	independent evaluators	-	-	Evangelion	cognition;research	do not collapse disagreement into one confident answer	correlated reasoning can create false consensus	YES	YES	disagreement and calibration tests	not_started	REGISTERED	architectural principle extracted from fiction	-	measured decision-quality evidence	technology_mining_addendum:1360	2026-09-02
RES-002	Neuromorphic compute substrate	SCIENTIFIC	Neuromorphic computing research	User supplied research	2026	compute	neuromorphic	Event-driven and energy-aware hardware is tracked as a possible future backend.	efficient event-driven computation	brain-inspired circuits and event streams	E3	U3	active research; local availability unqualified	neuromorphic processors	-	[23]	-	compute;cognition	retain a backend abstraction and require measured hardware evidence	research maturity and scale limits	RESERVE	YES	backend simulation and hardware qualification	not_started	REGISTERED	research candidate with evidence boundary	-	qualified adapter and reproducible benchmark	technology_mining_addendum:1382	2026-09-02
RES-003	Photonic neural systems	SCIENTIFIC	Photonic neural network research	User supplied research	2026	compute	photonics	Optical neural computation is tracked without claiming local photonic hardware.	parallel matrix and signal processing	photonic propagation and integrated optical components	E3	U3	active research; local availability unqualified	photonic neural networks	[26]	[25]	-	compute;cognition	keep a provider-neutral photonic backend interface	fabrication and integration constraints	RESERVE	YES	software model and measured adapter tests	not_started	REGISTERED	research candidate with evidence boundary	-	qualified device and benchmark	technology_mining_addendum:1384-1385	2026-09-02
RES-004	Scientific graveyard	PRINCIPLE	Genesis research governance	User supplied research	2026	research	dead_end_memory	Rejected ideas remain searchable with reasons and reopen conditions.	avoid repeating failed investigations	structured dead-end records and evidence links	E0	U5	not a physical mechanism	failure registries	-	-	-	research;memory	preserve useful fragments while retaining rejection context	stale rejection records can hide new evidence	YES	YES	dead-end lookup and reopen tests	not_started	REGISTERED	prevents rediscovery of rejected approaches	-	new evidence or enabling technology	technology_mining_addendum:1354;1426	2026-09-02
RES-UNIVERSAL	Universal technology-mining pipeline	PRINCIPLE	Genesis universal research architecture	User supplied research	2026	research	technology_mining	A provenance-first pipeline compares science, engineering, fiction, patents and anomalies.	discover classify compare extract test and record ideas	independent evidence and utility filters	E0	U5	not a physical mechanism	research watcher	-	-	fiction and science sources	research;provenance	separate evidence from usefulness and preserve research lineage	broad collection without deduplication becomes trivia	YES	YES	registry validation and provenance tests	not_started	REGISTERED	foundation schema required by the addendum	-	validated ingestion and deduplication	technology_mining_addendum:1350-1353;1446-1450	2026-09-02
RES-FICTION	Fiction technology extraction lane	PRINCIPLE	Fiction design laboratory	User supplied research	2026	research	fiction_mining	Fiction is mined for problems, architectures, information flow and failure modes rather than copied implementations.	extract transferable design principles	clean-room abstraction from narrative systems	E0	U2	not a physical mechanism	design research	-	-	films;novels;games;anime	research;governance	fiction can reveal useful problems and failure cases	copyrighted expression and impossible mechanisms must not be copied	YES	YES	provenance and clean-room review	not_started	REGISTERED	keeps inspiration separate from implementation	-	source review and licensing evidence	technology_mining_addendum:1356-1358	2026-09-02
RES-SCIFI	Science-fiction systems catalogue	FICTIONAL	Science-fiction and speculative works	User supplied research	2026	research	fiction_mining	A broad catalogue records fictional systems as thought experiments with explicit evidence class E0.	compare identity memory body network and control models	narrative system abstraction	E0	U2	not a physical mechanism	fictional systems	-	-	major and obscure speculative works	research;cognition	ask which function is useful before considering a mechanism	famous titles create selection bias	YES	YES	cross-source comparison tests	not_started	REGISTERED	provides high-value conceptual seed coverage	-	new source provenance and deduplication	technology_mining_addendum:1357;1443-1445	2026-09-02
RES-PATENT	Patent and prior-art intelligence	PATENT	Patent intelligence organ	User supplied research	2026	research	prior_art	Patent records are mapped for claimed mechanisms, overlap, status and blocking risks.	find prior art and IP constraints	claims, families, jurisdictions and legal-status evidence	E1	U5	patent disclosure is not proof or permission to copy	patent databases	self-aware and self-healing computing; AR fusion; BCI decoding; photonics	-	-	provenance;governance	patented does not mean validated or free to copy	legal status and claim scope can change	NO	YES	claim-map and provenance tests	not_started	REGISTERED	prior-art traceability is required before novelty claims	-	legal review and design-around analysis	technology_mining_addendum:1401-1404	2026-09-02
RES-UAP	UAP and unusual-observation research lane	UAP	NASA and AARO public research framing	User supplied research	2026	science	anomaly_studies	Unusual observations are handled as data-quality and hypothesis-comparison problems.	improve anomaly detection multisensor fusion and uncertainty reasoning	sensor verification corroboration and ranked hypotheses	E1	U4	reports are not evidence of extraterrestrial technology	UAP observation datasets	-	[1];[36]	-	perception;research	remain unknown when data is insufficient	misidentification and incomplete sensor context	NO	YES	perception benchmark and sensor-quality tests	not_started	REGISTERED	useful as an epistemic benchmark without an alien-tech claim	-	corroborating data and reproducible analysis	technology_mining_addendum:1395-1397	2026-09-02
RES-SPECULATION	Speculation classification boundary	SPECULATIVE	Speculative propulsion and anomaly claims	User supplied research	2026	science	speculation	Unproven claims are classified, decomposed and tested without being promoted to facts.	preserve hypotheses while maintaining epistemic boundaries	claim to mechanism to prediction to experiment pipeline	E1	U3	unknown until evidence is produced	physics and engineering analysis	-	-	UAP and speculative fiction	research;provenance	unproven is neither impossible nor proven	large potential impact can bias belief	NO	YES	classification and falsifiability tests	not_started	REGISTERED	keeps speculation searchable and bounded	-	primary evidence and reproducible experiment	technology_mining_addendum:1398-1400;1436	2026-09-02
RES-TECH-RADAR	Technology radar	PRINCIPLE	Genesis technology radar	User supplied research	2026	research	watcher	A horizon-aware watcher tracks emerging, mature, abandoned and speculative technologies.	find later developments and historical prior art	periodic discovery with evidence and utility scoring	E0	U4	not a physical mechanism	technology watchers	-	-	all source categories	research;governance	search backwards and forwards and record horizons	watchers must not auto-install or silently change runtime	YES	YES	queue prioritization and deduplication tests	not_started	REGISTERED	turns one search into a maintainable program	-	approved source connector and review policy	technology_mining_addendum:1422-1424	2026-09-02
RES-DEADEND	Rejected and dead-end cache	PRINCIPLE	Genesis scientific graveyard	User supplied research	2026	research	dead_end_memory	Before new speculative work, Genesis checks whether an idea was already investigated and why it was rejected.	avoid duplicate investigations and reopen on new evidence	linked dead-end records with explicit reopen conditions	E0	U5	not a physical mechanism	failure analysis	-	-	-	research;memory	keep rejection reasons and useful fragments	dead ends become harmful if they cannot be reopened	YES	YES	dead-end lookup and reopen tests	not_started	REGISTERED	permanent registry is required by the addendum	-	new evidence satisfies the reopen condition	technology_mining_addendum:1426-1427	2026-09-02
