id	line	heading	sha256	classification	status
G2-0001	377	Chonkie — particularly relevant to your memory design	a57d1fc1d51731f54dc0c412754ea49d595f75aa21f583d605aa889ec742cde2	design-discussion	DISCOVERED
G2-0002	414	Marker — one I think you genuinely should investigate	a575a21d5fb48beff123cdda1c0758a19a55eb650e8776a0a97443ec05c271fe	design-discussion	DISCOVERED
G2-0003	471	Langfuse — this fits your 0–100 testing philosophy	a2a6f93ae61d0654922fed1688f067aa1884d4b8ab3405ad1df446a2addb4a98	design-discussion	DISCOVERED
G2-0004	522	Qdrant — useful, but don't call it Genesis's memory	6259265b1ef9160f0a5c2bfe53e07c176408a77fa3ea385d2248ab70570ed001	research-evaluation	DISCOVERED
G2-0005	578	Ollama — probably the easiest one for you to exploit immediately	950f770cbd6e51daf526c790570e64ac77d1b98c06fca91f5f4d5529d8580220	design-discussion	DISCOVERED
G2-0006	619	DSPy — very interesting for your self-improvement experiments	9886de1f0d44ced2a0ba957fef590e7ca93dfb196f0d80822e39095fed19792d	design-discussion	DISCOVERED
G2-0007	660	Crawl4AI — this is basically part of the researcher's eyes	42ac7ae610c2a65888ad5e23ac274702e38d65d3e69437133846515e7e4c8fdd	design-discussion	DISCOVERED
G2-0008	722	Outlines — extremely relevant to the event fabric	1c930e222fb84e0f3c4beca3d7e0c73026509f01c008876a8b9dcb53d0da817a	design-discussion	DISCOVERED
G2-0009	761	LiteLLM — useful plumbing, not intelligence	afa1dc3abb062a05526e03fe4445b4d5f246ac7b464e9e5e5af3b3e3f6b35eac	research-evaluation	DISCOVERED
G2-0010	792	Instructor — similar goal to Outlines, different approach	b854f359d4cb2022cc5f6ecf90363210d0f811aef6058414d6fae19a6bab805b	design-discussion	DISCOVERED
G2-0011	838	What I would actually use	6b0a30d81b3a677d94dda88757a323390a1ec91d76851d019240d80f6b70fb57	design-discussion	DISCOVERED
G2-0012	996	What the video actually builds	c70ea8b2191264782e5267972c1176cdcb45dbde6451a71482e1d1029cee91cd	research-evaluation	DISCOVERED
G2-0013	1036	1. The video strongly confirms that **the model must not be Genesis**	930cb4f51ff8038c4bbde13377e8c0ad728cee8af0ea4ae1cfcec1559b5d278d	research-evaluation	DISCOVERED
G2-0014	1094	2. We should explicitly distinguish **five different kinds of state**	93c4c9c3e98e223ee438c5a3fa0864e370db8d64abcb2c4dd0ed68d6a3e594e7	design-discussion	DISCOVERED
G2-0015	1152	3. We are missing a proper native **training engine**	8606cea214d9b5126258f98a386b67835d539f76f04ef38194f322a724072b55	design-discussion	DISCOVERED
G2-0016	1208	4. We should build our own automatic differentiation/backpropagation system	c59ab6cc76ac00cf090900df2c6af764885768b3fd2f56b109e7c8fc34b69512	design-discussion	DISCOVERED
G2-0017	1253	5. Add a native gradient checker	505c0cd55f3a7f451942df2e932d5a3c6a00a0c9a4f77d6640e29f652fd3c63a	design-discussion	DISCOVERED
G2-0018	1282	6. Add a parameter-utility auditor	a59a58edce35af6fc32f618cbbb38733190f191a91ae6995c2226c5980e946c2	design-discussion	DISCOVERED
G2-0019	1313	7. Tokenization should remain an **adapter**, not a law of cognition	7e700501eac85fcc8b0862c4c98cdb22bd73be71b021791466016d3c5843ae65	design-discussion	DISCOVERED
G2-0020	1348	8. Embeddings are useful—but they are not concepts and they are not memories	a5936b13aeecc4ca227c3ba93ece8bd1f0ce38f68b084e11331e3c4a3dd9bd74	research-evaluation	DISCOVERED
G2-0021	1395	9. We should version embeddings	e50c4ee88219904501af29bae33c20b44f29c7b95ef2360c392fbc55378c966b	design-discussion	DISCOVERED
G2-0022	1446	10. The transformer should become **one candidate brain substrate**, not the brain architecture	2670521e1d36f6d163c8737b37eba77ddd750646be45a57a4c97b14400a27aed	design-discussion	DISCOVERED
G2-0023	1500	11. The causal mask gives us an important lesson about **time**	3fb4a8133242fd5c0a7f2c8e0f20894cf883674e24e32557e3f86f353bb48d64	design-discussion	DISCOVERED
G2-0024	1538	12. Tool calls should become **intent objects**, never direct execution	e0ec27fdc3949e2a971f82904969b8d90fe34efc0cad9956d4e8b51d3d1662ea	research-evaluation	DISCOVERED
G2-0025	1586	13. Tool results should become observations, not just chat text	ada5f9842119b9f16f4deea827e9ce4882123f0b093bb2029505553bd7a7fb92	research-evaluation	DISCOVERED
G2-0026	1619	14. Add a formal decoding policy	292e6ecc789183228a06b414c012f2568ec3608fae1a53231946fff41bdc231b	design-discussion	DISCOVERED
