source_id	pages_read	turns_read	items_read	user_chars_observed	assistant_chars_observed	truncated_items	attachments_observed	links_observed	topic_signals	traversal_status	review_status	disposition	locator_status	reviewed_at
CGP-001	2	18	36	3715	20668	17	0	0	network_distributed,visual_design,compute_models	OLDEST_PAGE_REACHED	INDEXED_AND_CLASSIFIED	ARCHITECTURE_INPUT	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-002	1	4	7	2479	3600	3	7	0	visual_design,network_distributed	OLDEST_PAGE_REACHED	INDEXED_AND_CLASSIFIED	DESIGN_INPUT	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-003	4	39	84	4061	45275	29	0	0	cognition_memory,compute_models,security_ethics_rights	OLDEST_PAGE_REACHED	PRIORITY_ABSTRACTED	ARCHITECTURE_INPUT	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-004	2	13	26	2079	15600	13	0	0	compute_models,network_distributed,agent_automation	OLDEST_PAGE_REACHED	INDEXED_AND_CLASSIFIED	ARCHITECTURE_INPUT	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-005	21	206	412	99483	245809	204	0	29	visual_design,legacy_integration,network_distributed	OLDEST_PAGE_REACHED	INDEXED_AND_CLASSIFIED	LEGACY_REFERENCE	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-006	16	160	319	19385	190800	159	0	35	visual_design,legacy_integration,security_ethics_rights	OLDEST_PAGE_REACHED	INDEXED_AND_CLASSIFIED	LEGACY_REFERENCE	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-007	1	1	2	1200	1200	1	0	0	legacy_integration,visual_design,agent_automation	OLDEST_PAGE_REACHED	INDEXED_AND_CLASSIFIED	LEGACY_REFERENCE	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-008	1	6	11	2758	5961	4	0	0	legacy_integration,compute_models,network_distributed	OLDEST_PAGE_REACHED	INDEXED_AND_CLASSIFIED	LEGACY_REFERENCE	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-009	1	10	20	1295	12000	10	0	0	legacy_integration,agent_automation,security_ethics_rights	OLDEST_PAGE_REACHED	INDEXED_AND_CLASSIFIED	LEGACY_REFERENCE	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-010	2	11	22	1937	13200	11	0	0	agent_automation,cognition_memory,visual_design	OLDEST_PAGE_REACHED	INDEXED_AND_CLASSIFIED	AGENT_INPUT	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-011	1	8	16	2333	7936	6	0	0	agent_automation,visual_design,network_distributed	OLDEST_PAGE_REACHED	INDEXED_AND_CLASSIFIED	AGENT_INPUT	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-012	4	32	64	5371	38400	32	0	0	commercial_finance,agent_automation,compute_models	OLDEST_PAGE_REACHED	INDEXED_AND_CLASSIFIED	ARCHITECTURE_INPUT	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-013	4	32	79	5359	13676	2	0	0	compute_models,cognition_memory,security_ethics_rights	OLDEST_PAGE_REACHED	PRIORITY_ABSTRACTED	GOVERNANCE_RESEARCH	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-014	1	1	2	152	1200	1	0	0	visual_design,cognition_memory	OLDEST_PAGE_REACHED	INDEXED_AND_CLASSIFIED	DESIGN_INPUT	PRIVATE_LOCAL_ONLY	2026-09-06
CGP-015	2	15	31	884	6713	0	0	0	cognition_memory,network_distributed,visual_design	OLDEST_PAGE_REACHED	INDEXED_AND_CLASSIFIED	GOVERNANCE_RESEARCH	PRIVATE_LOCAL_ONLY	2026-09-06
